Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
100th Annual Meeting of the British Association of Dermatologists,Dermatology,NA,1,United Kingdom,"Manchester, England",07-07-2020,09-07-2020,-,227000,1
100th Italian Society of Ophthalmology / Societa Oftalmologica Italiana (SOI) National Congress,Ophthalmology,Ophthalmology,0,Italy,"Roma, Lazio",18-11-2020,21-11-2020,-,10300,1
104th Annual Meeting of the German Society for Pathology,Pathology,NA,0,Germany,"Berlin, Berlin",04-06-2020,06-06-2020,-,43900,1
10th Annual Evaluation and Management of Pleural Disease,Internal Medicine,Pleural Disease,0,United States of America,"Baltimore, Maryland",03-02-2020,04-02-2020,-,1610000,1
10th Annual International Society for Neurovascular Disease (ISNVD) Scientific Meeting,Neurology,NA,0,United States of America,"New York City, New York",21-05-2020,22-05-2020,-,831,1
10th Annual Multimodality Cardiovascular Imaging For The Clinician,Cardiology,Cardiovascular,0,United States of America,"Fort Lauderdale, Florida",14-03-2020,16-03-2020,-,863000,1
10th Annual Primary Care Fall Conference,Internal Medicine,NA,1,United States of America,"Maui, Hawaii",12-10-2020,16-10-2020,750,41200000,1
10th Annual Puerto Rico Oncology Symposium,Oncology,NA,0,United States of America,"San Juan, Puerto Rico",07-02-2020,08-02-2020,500,8260000,1
10th Annual UCLA Musculoskeletal Ultrasound Course and Hands-On Workshop,Musculoskeletal Disorders,NA,0,United States of America,"Santa Monica, California",25-01-2020,26-01-2020,995,172000,1
10th Emirates Diabetes & Endocrine Congress (EDEC),Metabolic Disorders,Diabetes,0,United Arab Emirates,"Dubai, Dubai",27-02-2020,29-02-2020,-,701000,0
10th International Conference on Brain Injury & Neuroscience,Neurology,Injury,0,Denmark,Copenhagen,17-08-2020,18-08-2020,-,34500000,1
10th International Conference on Otorhinolaryngology,Otorhinolaryngologic Diseases,NA,0,Czech Republic,Prague,22-07-2020,23-07-2020,-,347000,1
10th International Conference on Thrombosis and Hemostasis Issues in Cancer (ICTHIC),Oncology,"Thrombosis,Hemostasis",0,Italy,"Bergamo, Lombardia",17-04-2020,19-04-2020,-,7980,1
10th International Congress of the Growth Hormone Research and IGF Societies,Genetic Disorders,NA,0,Brazil,"Foz Do Iguacu, Parana",13-11-2020,16-11-2020,-,154000,0
10th Point-of-care Ultrasound Workshop,Internal Medicine,NA,0,United States Of America,"San Antonio, Texas",14-02-2020,15-02-2020,1450,1060000,1
11-Night Japanese Explorer CME Cruise,Infectious Disease,NA,0,Japan,"Tokyo, Kanto",10-04-2020,21-04-2020,1245,350000,0
11th AIHS Workshop & 9th Board Review Lectures,Neurology,NA,0,United States of America,"Chicago, Illinois",30-05-2020,31-05-2020,2200,9820,1
11th Expert Strategies in Endoscopy Gastrointestinal and Liver Disorders,Gastrointestinal,Gastrointestinal,0,United States Of America,"Kansas City, Missouri",13-03-2020,14-03-2020,-,1640000,1
"11th International Conference on Reproduction, Pregnancy and Rheumatic diseases",Rheumatology,Pregnancy,0,Italy,"Stresa, Piedmont",01-10-2020,03-10-2020,-,1560000,1
11th International Congress of Internal Medicine,Internal Medicine,NA,0,Greece,"Athens, Attica",19-03-2020,21-03-2020,-,8990000,1
11th International course on ophthalmic and oculoplastic reconstruction and trauma surgery,Ophthalmology,Trauma,0,Austria,"Vienna, Wien",08-01-2020,10-01-2020,-,53200,1
11th International Platelet Symposium Overview,Hematology,NA,0,United States of America,"Wellesley, Massachusetts",01-05-2020,05-05-2020,845,821000,1
11th National Clinical Cardiology (IACCCON 2020),Cardiology,NA,0,India,Vadodara,04-09-2020,06-09-2020,-,209,0
12-Night Royal Touch of Morocco CME Land Tour,Rheumatology,NA,0,Canada,"Montreal, Quebec",07-03-2020,19-03-2020,1245,259000,0
126th Congress on Practical neuro-ophthalmology,Ophthalmology,Ophthalmology,0,France,"Ile de France, Paris",09-05-2020,12-05-2020,-,17500,1
12th Annual Abdominal Wall Reconstruction Conference,Gastrointestinal,NA,0,United States,"Washington, D.C.",04-06-2020,06-06-2020,-,1130000,1
12th Annual Gastroenterology & Hepatology Symposium,Gastrointestinal,NA,1,United States of America,"Anaheim, California",28-02-2020,29-02-2020,325,1070000,1
12th Annual McMaster University Review Course in Internal Medicine,Internal Medicine,NA,0,Canada,"Hamilton, Ontario",25-03-2020,27-03-2020,-,767000,0
12th Annual Meeting of Respiratory Therapists (DGP),Respiratory,NA,0,Germany,"Dortmund, North Rhine-Westphalia",26-09-2020,27-09-2020,-,2740000,1
12th Annual T-cell Lymphoma Forum,Oncology,Lymphoma,0,United States Of America,"La Jolla, California",30-01-2020,01-02-2020,500,539000,1
12TH CLINICAL TRIALS ON ALZHEIMER'S DISEASE,Neurology,Alzheimer's Disease,0,United States,San Diego,04-12-2020,07-12-2020,-,1100000,1
12th Euro-Global Conference on Infectious Diseases,Infectious Disease,NA,0,Austria,Vienna,05-10-2020,06-10-2020,-,2880000,1
12th European Lupus Meeting,Rheumatology,NA,0,Belgium,"Bruges, Flandre Occidentale",25-03-2020,27-03-2020,-,1570000,1
12th International Conference on Acute Cardiac Care,Cardiology,NA,0,Israel,"Tel Aviv, Tel Aviv",28-06-2020,30-06-2020,-,1620000,0
12th International Conference on Frontotemporal Dementias 2020,Neurology,NA,0,United States Of America,"Minneapolis, Minnesota",07-10-2020,10-10-2020,-,69000,1
12th International Respiratory Syncytial Virus (RSV) Symposium,Infectious Disease,NA,0,United Kingdom,"Belfast City, North Ireland",09-09-2020,12-09-2020,-,105000,1
12th International Symposium on Pneumococci and Pneumococcal Diseases (ISPPD-12),Infectious Disease,NA,0,Canada,"Toronto, Ontario",21-06-2020,25-06-2020,-,5420,0
12th World Congress on Alzheimers Disease & Dementia,Neurology,Dementia,0,Thailand,Bangkok,23-01-2020,24-01-2020,-,2120000,0
13-Night New Zealand CME Cruise,Ophthalmology,NA,0,Australia,"Sydney, New South Wales",14-03-2020,27-03-2020,-,535000,0
