Abstract_Title,Clinical Trial Details,Date,Disease Statistic,Drug Application,Educational and Research,Endpoints,FDA Review Outcomes,KOL,Late-Breaking Abstracts,New Entries,Preclinical,Recruitment status,Relevance,Session_Title,Treatment Details,Trial Readouts,id,Priority
Rituximab maintenance for patients with diffuse large B-cell lymphoma in first complete remission: Results from a randomized HOVON-Nordic Lymphoma Group phase III study.,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,1,Medium
Five-year analysis on the long-term effects of dabrafenib plus trametinib (D + T) in patients with<em> BRAF V600</em>mutant unresectable or metastatic melanoma.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,2,Ignore
Phase III MONALEESA-7 trial of premenopausal patients with HR+/HER2- advanced breast cancer (ABC) treated with endocrine therapy ± ribociclib: Overall survival (OS) results.,1,04-06-2019,0,0,0,1,0,0,1,0,0,0,1,Breast CancerMetastatic,0,0,3,High
FDA analysis of depth of response (DpR) and survival across 10 randomized controlled trials in patients with previously untreated unresectable or metastatic melanoma (UMM) by therapy type.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,1,4,High
"Smart start: Final results of rituximab, lenalidomide, and ibrutinib lead in prior to combination with chemotherapy for patients with newly diagnosed diffuse large B-cell lymphoma.",0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,1,5,High
"A randomized phase II study of palbociclib plus exemestane with GNRH agonist versus capecitabine in premenopausal women with hormone receptor-positive metastatic breast cancer (KCSG-BR 15-10, NCT02592746).",1,04-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,6,Medium
"Umbralisib monotherapy demonstrates efficacy and safety in patients with relapsed/refractory marginal zone lymphoma: A multicenter, open label, registration directed phase II study.",0,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,7,Medium
Correlates of overall survival (OS) in metastatic uveal melanoma (mUM) and a randomized trial of cabozantinib (cabo) versus chemotherapy (chemo).,0,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,8,Medium
Polatuzumab vedotin (Pola) + obinutuzumab (G) and lenalidomide (Len) in patients (pts) with relapsed/refractory (R/R) follicular lymphoma (FL): Interim analysis of a phase Ib/II trial.,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,9,Medium
"Capivasertib (AZD5363) plus fulvestrant versus placebo plus fulvestrant after relapse or progression on an aromatase inhibitor in metastatic ER-positive breast cancer (FAKTION): A randomized, double-blind, placebo-controlled, phase II trial.",1,04-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,10,Medium
Randomized phase II study of eribulin mesylate (E) with or without pembrolizumab (P) for hormone receptor-positive (HR+) metastatic breast cancer (MBC).,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,11,Medium
Salvage therapy after failure from anti-PD-1 single agent treatment: A Study by the German ADOReg melanoma registry.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,12,Ignore
"Sintilimab for relapsed/refractory (r/r) extranodal NK/T cell lymphoma (ENKTL): A multicenter, single-arm, phase 2 trial (ORIENT-4).",1,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,13,Medium
