TA,Key,Indication
Metabolic Disorders,Type 1 Diabetes,Type 1 Diabetes
Oncology,Peripheral T-Cell Lymphomas,Peripheral T-Cell Lymphomas
Oncology,Hepatocellular Carcinoma,Hepatocellular Carcinoma
Central Nervous System,Partial Seizure,Partial Seizure
Cardiovascular,Cardiovascular Risk Factors,Cardiovascular Risk Factors
Nutritional Disorders,Osteomalacia,Osteomalacia
Central Nervous System,Pain,Pain
Ophthalmology,Ocular Hypertension,Ocular Hypertension
Metabolic Disorders,Type 2 Diabetes,Type 2 Diabetes
Respiratory,Cystic Fibrosis,Cystic Fibrosis
Infectious Disease,Pseudomonas aeruginosa Infections,Pseudomonas aeruginosa Infections
Male Health,Erectile Dysfunction,Erectile Dysfunction
Dermatology,Seborrhea,Seborrhea
Respiratory,Allergic Rhinitis,Allergic Rhinitis
Immunology,House Dust Mite Allergy,House Dust Mite Allergy
Central Nervous System,Migraine,Migraine
Genito Urinary System And Sex Hormones,Kidney Disease,Kidney Disease
Gastrointestinal,Pouchitis,Pouchitis
Central Nervous System,Parkinson's Disease,Parkinson's Disease
Infectious Disease,Human Immunodeficiency Virus,Human Immunodeficiency Virus
Hematological Disorders,Iron Deficiency Anemia,Iron Deficiency Anemia
Toxicology,Chemotherapy Induced Neutropenia,Chemotherapy Induced Neutropenia
Genetic Disorders,Urea Cycle Disorders,Urea Cycle Disorders
Central Nervous System,Insomnia,Insomnia
Infectious Disease,"Influenza A Virus, H1N1 Subtype Infections","Influenza A Virus, H1N1 Subtype Infections"
Central Nervous System,Sedation,Sedation
Central Nervous System,Secondary Progressive Multiple Sclerosis,Secondary Progressive Multiple Sclerosis
Cardiovascular,Calciphylaxis,Calciphylaxis
Gastrointestinal,Irritable Bowel Syndrome,Irritable Bowel Syndrome
Cardiovascular,Pulmonary Arterial Hypertension,Pulmonary Arterial Hypertension
Genetic Disorders,Duchenne Muscular Dystrophy,Duchenne Muscular Dystrophy
Women's Health,Atrophic Vaginitis,Atrophic Vaginitis
Genetic Disorders,Alpha-1 Antitrypsin Deficiency,Alpha-1 Antitrypsin Deficiency
Genetic Disorders,Primary Immune Deficiency,Primary Immune Deficiency
Infectious Disease,Avian Influenza,Avian Influenza
Metabolic Disorders,Familial Chylomicronemia,Familial Chylomicronemia
Respiratory,Asthma,Asthma
Genito Urinary System And Sex Hormones,Nocturia,Nocturia
Women's Health,Female Contraception,Female Contraception
Genetic Disorders,Fabry Disease,Fabry Disease
Immunology,Hereditary Angioedema,Hereditary Angioedema
Oncology,Bile Duct Cancer,Bile Duct Cancer
Hematological Disorders,Anemia in Chronic Kidney Disease,Anemia in Chronic Kidney Disease
Oncology,Acute Myelocytic Leukemia,Acute Myelocytic Leukemia
Women's Health,Endometriosis,Endometriosis
Gastrointestinal,Ulcerative Colitis,Ulcerative Colitis
Oncology,Metastatic Colorectal Cancer,Metastatic Colorectal Cancer
Oncology,Adenocarcinoma Of The Gastroesophageal Junction,Adenocarcinoma Of The Gastroesophageal Junction
Oncology,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer
Oncology,Epithelial Ovarian Cancer,Epithelial Ovarian Cancer
Oncology,Colorectal Cancer,Colorectal Cancer
Women's Health,Women Infertility,Women Infertility
Central Nervous System,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis
Oncology,Non Muscle Invasive Bladder Cancer,Non Muscle Invasive Bladder Cancer
Respiratory,Idiopathic Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis
Immunology,Plaque Psoriasis,Plaque Psoriasis
Ophthalmology,Allergic Rhino-Conjunctivitis,Allergic Rhino-Conjunctivitis
Immunology,Grass Pollen Allergy,Grass Pollen Allergy
Central Nervous System,Cancer Pain,Cancer Pain
Central Nervous System,Fibromyalgia,Fibromyalgia
Gastrointestinal,Crohn's Disease,Crohn's Disease
Central Nervous System,Alzheimer's Disease,Alzheimer's Disease
Infectious Disease,Hepatitis B,Hepatitis B
Infectious Disease,Onychomycosis,Onychomycosis
Gastrointestinal,Hepatorenal Syndrome,Hepatorenal Syndrome
Toxicology,Chemotherapy Induced Peripheral Neuropathy,Chemotherapy Induced Peripheral Neuropathy
Immunology,Psoriasis,Psoriasis
Ophthalmology,Keratoconjunctivitis Sicca,Keratoconjunctivitis Sicca
Oncology,Squamous Cell Carcinoma,Squamous Cell Carcinoma
Cardiovascular,Critical Limb Ischemia,Critical Limb Ischemia
Oncology,Solid Tumor,Solid Tumor
Oncology,Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor
Oncology,Metastatic Renal Cell Carcinoma,Metastatic Renal Cell Carcinoma
Central Nervous System,Relapsing Remitting Multiple Sclerosis,Relapsing Remitting Multiple Sclerosis
Central Nervous System,Osteoarthritis Pain,Osteoarthritis Pain
Genetic Disorders,Gaucher Disease Type I,Gaucher Disease Type I
Ear Nose Throat Disorders,Acute Sensorineural Hearing Loss,Acute Sensorineural Hearing Loss
Ophthalmology,Graves' Ophthalmopathy,Graves' Ophthalmopathy
Central Nervous System,Psychosis,Psychosis
Central Nervous System,Neuropathic Pain,Neuropathic Pain
Oncology,Refractory Multiple Myeloma,Refractory Multiple Myeloma
Hematological Disorders,Thalassemia,Thalassemia
Hematological Disorders,Sickle Cell Disease,Sickle Cell Disease
Oncology,B-Cell Acute Lymphocytic Leukemia,B-Cell Acute Lymphocytic Leukemia
Oncology,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer
Oncology,Fallopian Tube Cancer,Fallopian Tube Cancer
Genetic Disorders,Nephropathic Cystinosis,Nephropathic Cystinosis
Oncology,Soft Tissue Sarcoma,Soft Tissue Sarcoma
Oncology,Ovarian Cancer,Ovarian Cancer
Dermatology,Scar,Scar
