Abstract_Title,Session_Title,Date,Relevance,Priority
Chair,Clinical Updates in Genetics,"May 30, 2019",0,Not Relevant
Panel Question and Answer,International Experience with Health Technology Assessment (HTA) & Lessons for the United States,"May 30, 2019",0,Not Relevant
Panel Question and Answer,ImmunOncology: Determining the Patients Most Likely to Benefit,"May 30, 2019",0,Not Relevant
Panel Question and Answer,How to Set Up a Molecular Tumor Board,"May 30, 2019",0,Not Relevant
Panel Question and Answer,Clinical Updates in Genomics,"May 30, 2019",0,Not Relevant
Panel Question and Answer,From Rarity to Common Expectation: Tripling Clinical Trial Recruitment,"May 30, 2019",0,Not Relevant
The NICE Approach to HTA,International Experience with Health Technology Assessment (HTA) & Lessons for the United States,"May 30, 2019",0,Not Relevant
Panel Question and Answer,Financial Toxicity: How Costs Negatively Impact Patients and What Can be Done About It,"May 30, 2019",0,Not Relevant
Panel Question and Answer,Clinical Updates in Genetics,"May 30, 2019",0,Not Relevant
Panel Question and Answer,Is Bigger Better? A Debate on Efficacy of Mammoth Trials,"May 30, 2019",0,Not Relevant
Hematologic Malignancies,Integrating Immunotherapy into Clinical Practice - Changes Over the Past Year (Part 2),"May 30, 2019",0,Not Relevant
Hope Versus Reality: The Ethics of Tumor Testing of Patients with Advanced Disease,How to Set Up a Molecular Tumor Board,"May 30, 2019",0,Not Relevant
What is the Optimal Profiling Strategy for Clinical Practice?,ImmunOncology: Determining the Patients Most Likely to Benefit,"May 30, 2019",0,Not Relevant
Care Delivery for Genetic Testing,How to Set Up a Molecular Tumor Board,"May 30, 2019",0,Not Relevant
Cost-Effectiveness Analysis in the United States,International Experience with Health Technology Assessment (HTA) & Lessons for the United States,"May 30, 2019",0,Not Relevant
The U.S. and Community Perspectives,How to Set Up a Molecular Tumor Board,"May 30, 2019",0,Not Relevant
The Biology and Biomarkers of Immunotherapy,The Biology and Biomarkers of Immunotherapy,"May 30, 2019",0,Not Relevant
Continued Financial Toxicity: Beyond Treatment,Financial Toxicity: How Costs Negatively Impact Patients and What Can be Done About It,"May 30, 2019",0,Not Relevant
How Big Should Your Panel Be? Is Less more?,Clinical Updates in Genetics,"May 30, 2019",0,Not Relevant
Seamless Mammoth Trials can be Efficient and Expedite Drug Development,Is Bigger Better? A Debate on Efficacy of Mammoth Trials,"May 30, 2019",0,Not Relevant
Management of Moderately Penetrant Genes,Clinical Updates in Genetics,"May 30, 2019",0,Not Relevant
Seamless Mammoth Trials can Pose Substantial Challenges in Practice,Is Bigger Better? A Debate on Efficacy of Mammoth Trials,"May 30, 2019",0,Not Relevant
Health Insurance Coverage and Medical Financial Hardship Among Cancer Survivors,Financial Toxicity: How Costs Negatively Impact Patients and What Can be Done About It,"May 30, 2019",0,Not Relevant
Non-Genomic Predictors of IO Response,ImmunOncology: Determining the Patients Most Likely to Benefit,"May 30, 2019",0,Not Relevant
Online Tools to Help Find Trials for Patients,From Rarity to Common Expectation: Tripling Clinical Trial Recruitment,"May 30, 2019",0,Not Relevant
The International and Academic Perspectives,How to Set Up a Molecular Tumor Board,"May 30, 2019",0,Not Relevant
Trends of Cost-Effectiveness over Time,International Experience with Health Technology Assessment (HTA) & Lessons for the United States,"May 30, 2019",0,Not Relevant
Genomic Predictors of IO Response,ImmunOncology: Determining the Patients Most Likely to Benefit,"May 30, 2019",0,Not Relevant
Gastrointestinal Malignancies,Integrating Immunotherapy into Clinical Practice - Changes Over the Past Year (Part 2),"May 30, 2019",0,Not Relevant
An Update on the Affordability and Effectiveness of Cancer Medicines,International Experience with Health Technology Assessment (HTA) & Lessons for the United States,"May 30, 2019",0,Not Relevant
Overview of Immuno-Oncology,ImmunOncology: Determining the Patients Most Likely to Benefit,"May 30, 2019",0,Not Relevant
Genomic Signatures,Clinical Updates in Genomics,"May 30, 2019",0,Not Relevant
Head and Neck Cancers,Integrating Immunotherapy into Clinical Practice - Changes Over the Past Year (Part 1),"May 30, 2019",0,Not Relevant
Targeted Therapies and Identifying Targetable Driver Mutations,Clinical Updates in Genomics,"May 30, 2019",0,Not Relevant
Melanoma/Skin Cancers,Integrating Immunotherapy into Clinical Practice - Changes Over the Past Year (Part 1),"May 30, 2019",0,Not Relevant
The Pros and Cons of Tumor Matched Germline Testing,Clinical Updates in Genetics,"May 30, 2019",0,Not Relevant
The Pros and Cons of Different Genomic Panels,Clinical Updates in Genomics,"May 30, 2019",0,Not Relevant
Clinical Trials Access for the Community Oncologists,From Rarity to Common Expectation: Tripling Clinical Trial Recruitment,"May 30, 2019",0,Not Relevant
The Evolution of Financial Support Programs in the Oncology Setting,Financial Toxicity: How Costs Negatively Impact Patients and What Can be Done About It,"May 30, 2019",0,Not Relevant
Increasing Clinical Trial Accessibility,From Rarity to Common Expectation: Tripling Clinical Trial Recruitment,"May 30, 2019",0,Not Relevant
Breast and Gynecologic Cancers,Integrating Immunotherapy into Clinical Practice - Changes Over the Past Year (Part 1),"May 30, 2019",0,Not Relevant
Broadening Clinical Trials Eligibility to Make Them More Representative,From Rarity to Common Expectation: Tripling Clinical Trial Recruitment,"May 30, 2019",0,Not Relevant
Mitigating Financial Toxicity by Supporting Employment,Financial Toxicity: How Costs Negatively Impact Patients and What Can be Done About It,"May 30, 2019",0,Not Relevant
Characteristics of preceding trials associated with the outcome of subsequent phase III (P3) trials of targeted and immunological therapies in advanced cancers.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Prediction of lesion shrinkage using CT imaging with radiomic and deep learning approaches.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Clinical significance of circulating tumor cells identified by cell-surface vimentin in pancreatic cancer.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Tracking endocrine resistance in estrogen-receptor positive breast cancer in ctDNA.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Phenotypic and functional characteristics of patient derived murine xenograft models.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
EGF (epidermal growth factor) receptor expression in blood: Prognostic biomarker in overall survival (OS) of patients with non-metastatic triple negative (TN) breast carcinoma.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Association of Ras-Raf-MEK-Erk/JNK pathway mutations with overall survival for lung squamous cell carcinoma patients.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Integrin ß5 in plasma-derived exosomal protein predicting liver-specific metastasis in advanced gastric cancer patients.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Targeting EGFR Ex20 mutant lung cancer with the wild type sparing kinase inhibitor PRB001.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
A breakthrough in treatment of cancer patients with grade 4/profound febrile neutropenia.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Feasibility and clinical impact of next-generation sequencing (NGS) in patients with stage IV or recurrent malignancies.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Precise prediction of the radiation pneumonitis with RPI: An explorative preliminary mathematical model using genotype information.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Cell-free DNA in uveal melanoma: Results from the first-in-human trial of mivebresib (ABBV-075).,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Analytical validation of the Oncomine Pan-Cancer Cell-Free Assay in a CLIA- and CAP-regulated laboratory for detection of solid tumor-derived variants in blood plasma.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"A phase I study investigating the absorption, metabolism, and excretion of <sup>[14C] </sup>anlotinib in patients with advanced refractory solid tumors.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Expression of soluble DC-HIL/gpnmb receptor in the blood of metastatic non-small cell lung carcinoma treated with anti-PD1/PDL1 monoclonal antibodies.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Correlation between K-RAS mutant subsets, TP53 mutation, and PD-L1 status in non-small cell lung cancer (NSCLC).",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
ABT-806 derived antibody drug conjugates (ADCs) inhibit growth of malignant mesothelioma in-vivo.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Effect on tumor growth by TGF-ß1/COX-2 siRNA combination product (STP705) in a human cholangiocarcinoma (HuCCT-1) xenograft tumor model in nude mice.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Influence of deuterium-depleted water as a nutritive factor on the effectiveness of experimental chemotherapy in aging rats.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"Morphologic and genomic characterization of circulating tumor cells in patients with metastatic colorectal cancer treated with combinational treatment of andecaliximab, bevacizumab and chemotherapy.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"Pharmacokinetic/pharmacodynamic assessment of a proposed biosimilar MSB11455 versus the currently licensed pegfilgrastim: A randomized, double-blind trial.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Effect of tivantinib on VEGF signaling pathways and apoptosis of gastric cancer cells with c-MET or VEGFA amplification.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"Detection of low abundant mutants from circulating tumor DNA of plasma, pleural effusion, and cerebrospinal fluid of lung cancer patients using a novel mutant-capture enrichment approach.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
