id,Abstract_Title,Session_Title,Date,Trial Readouts,Clinical Trial Details,FDA Review Outcomes,Endpoints,KOL,New Entries,Recruitment status,Educational and Research,Disease Statistic,Treatment Details,Drug Application,Preclinical,Late-Breaking Abstracts
1,Rituximab maintenance for patients with diffuse large B-cell lymphoma in first complete remission: Results from a randomized HOVON-Nordic Lymphoma Group phase III study.,Hematologic Malignancies—Lymphoma and Chronic Lymphocytic Leukemia,04-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Five-year analysis on the long-term effects of dabrafenib plus trametinib (D + T) in patients with<em> BRAF V600</em>–mutant unresectable or metastatic melanoma.,Melanoma/Skin Cancers,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Phase III MONALEESA-7 trial of premenopausal patients with HR+/HER2- advanced breast cancer (ABC) treated with endocrine therapy ± ribociclib: Overall survival (OS) results.,Breast Cancer—Metastatic,04-06-2019,0,1,0,1,0,0,0,0,0,0,0,0,1
4,FDA analysis of depth of response (DpR) and survival across 10 randomized controlled trials in patients with previously untreated unresectable or metastatic melanoma (UMM) by therapy type.,Melanoma/Skin Cancers,04-06-2019,1,0,0,0,0,0,0,0,0,0,0,0,0
5,"Smart start: Final results of rituximab, lenalidomide, and ibrutinib lead in prior to combination with chemotherapy for patients with newly diagnosed diffuse large B-cell lymphoma.",Hematologic Malignancies—Lymphoma and Chronic Lymphocytic Leukemia,04-06-2019,1,0,0,0,0,0,0,0,0,0,0,0,0
6,"A randomized phase II study of palbociclib plus exemestane with GNRH agonist versus capecitabine in premenopausal women with hormone receptor-positive metastatic breast cancer (KCSG-BR 15-10, NCT02592746).",Breast Cancer—Metastatic,04-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
7,"Umbralisib monotherapy demonstrates efficacy and safety in patients with relapsed/refractory marginal zone lymphoma: A multicenter, open label, registration directed phase II study.",Hematologic Malignancies—Lymphoma and Chronic Lymphocytic Leukemia,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Correlates of overall survival (OS) in metastatic uveal melanoma (mUM) and a randomized trial of cabozantinib (cabo) versus chemotherapy (chemo).,Melanoma/Skin Cancers,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Polatuzumab vedotin (Pola) + obinutuzumab (G) and lenalidomide (Len) in patients (pts) with relapsed/refractory (R/R) follicular lymphoma (FL): Interim analysis of a phase Ib/II trial.,Hematologic Malignancies—Lymphoma and Chronic Lymphocytic Leukemia,04-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
10,"Capivasertib (AZD5363) plus fulvestrant versus placebo plus fulvestrant after relapse or progression on an aromatase inhibitor in metastatic ER-positive breast cancer (FAKTION): A randomized, double-blind, placebo-controlled, phase II trial.",Breast Cancer—Metastatic,04-06-2019,0,1,0,0,0,0,0,0,0,0,0,0,0
