id,Indication
1,blood disorder
1,non-hodgkin lymphoma
1,chronic lymphocytic leukemia
1,diffuse large b-cell lymphoma
1,lymphoma
2,melanoma
2,skin cancer
2,metastatic melanoma
3,breast cancer
3,stage
3,abc
4,melanoma
4,skin cancer
4,metastatic melanoma
5,blood disorder
5,non-hodgkin lymphoma
5,chronic lymphocytic leukemia
5,diffuse large b-cell lymphoma
6,breast cancer
6,metastatic breast cancer
7,blood disorder
7,non-hodgkin lymphoma
7,chronic lymphocytic leukemia
7,marginal zone b-cell lymphoma
8,melanoma
8,skin cancer
8,metastatic uveal melanoma
9,blood disorder
9,non-hodgkin lymphoma
9,chronic lymphocytic leukemia
9,follicular lymphoma
10,breast cancer
11,breast cancer
11,metastatic breast cancer
12,melanoma
12,skin cancer
13,blood disorder
13,non-hodgkin lymphoma
13,chronic lymphocytic leukemia
13,t-cell lymphoma
14,melanoma
14,skin cancer
15,breast cancer
15,triple-negative breast cancer
16,melanoma
16,skin cancer
17,blood disorder
17,non-hodgkin lymphoma
17,t-cell lymphoma
17,chronic lymphocytic leukemia
18,melanoma
18,skin cancer
19,breast cancer
19,metastatic breast cancer
20,breast cancer
20,metastatic breast cancer
21,blood disorder
21,chronic lymphocytic leukemia
22,melanoma
22,skin cancer
22,bulky disease
23,blood disorder
23,chronic lymphocytic leukemia
23,cll
23,small lymphocytic lymphoma
24,breast cancer
24,stage
25,blood disorder
25,chronic lymphocytic leukemia
26,cancer
27,melanoma
27,skin cancer
27,bulky disease
28,pancreatic adenocarcinoma
29,oncology
29,cancer
30,central nervous system
30,tumors
30,diffuse intrinsic pontine glioma
31,gynecologic cancer
31,ovarian cancer
32,central nervous system
32,tumors
32,meningioma
32,brain cancer
33,oncology
34,gynecologic cancer
34,ovarian cancer
35,central nervous system
35,bulky disease
35,tumors
35,cancer
36,gynecologic cancer
36,ovarian cancer
36,allergy
37,oncology
37,metastatic castration-resistant prostate cancer
38,gynecologic cancer
38,ovarian cancer
38,allergy
39,central nervous system
39,tumors
39,glioblastoma
40,oncology
40,cancer
41,central nervous system
41,tumors
41,glioma
42,gynecologic cancer
42,cervical cancer
43,central nervous system
43,tumors
43,low grade glioma
44,gynecologic cancer
44,cervical cancer
45,central nervous system
45,tumors
45,low grade glioma
46,oncology
48,gynecologic cancer
48,uterine cancer
48,endometrial cancer
49,central nervous system
49,tumors
49,glioblastoma
50,gynecologic cancer
50,uterine cancer
50,endometrial cancer
50,mmr
52,central nervous system
52,tumors
52,glioma
53,gynecologic cancer
53,uterine cancer
53,carcinosarcoma
54,oncology
55,sarcoma
55,soft tissue sarcoma
55,tumors
56,breast cancer
56,hrd
57,breast cancer
58,sarcoma
59,breast cancer
59,stage
60,cancer
60,prostate cancer
61,cancer
61,prostate cancer
62,breast cancer
63,breast cancer
64,cancer
65,breast cancer
65,stage
66,cancer
67,metastatic non-small cell lung cancer
67,autoimmune disorder
68,cancer
68,breast cancer
69,tumors
69,solid tumor
70,lung cancer
70,metastatic non-small cell lung cancer
70,non-small cell lung cancer
71,genitourinary cancer
71,kidney cancer
72,sarcoma
72,soft tissue sarcoma
73,breast cancer
74,tumors
74,ataxia telangiectasia
74,solid tumor
75,genitourinary cancer
75,bladder cancer
76,lung cancer
76,metastatic non-small cell lung cancer
76,non-small cell lung cancer
77,sarcoma
77,tumors
77,ewing sarcoma
78,cancer related fatigue
78,breast cancer
79,non-small cell lung cancer
79,tumors
80,breast cancer
81,tumors
81,her2- negative breast cancer
81,solid tumor
82,genitourinary cancer
82,bladder cancer
82,muscle invasive bladder cancer
83,breast cancer
84,sarcoma
84,gastroenterology stromal tumor
85,breast cancer
85,her2-positive breast cancer
86,cancer
86,breast cancer
88,breast cancer
89,cancer
90,tumors
90,glioma
91,genitourinary cancer
91,bladder cancer
91,urothelial cancer
92,lung cancer
92,metastatic non-small cell lung cancer
92,non-small cell lung cancer
93,sarcoma
93,tumors
95,tumors
95,solid tumor
96,genitourinary cancer
96,bladder cancer
96,urothelial cancer
97,lung cancer
97,metastatic non-small cell lung cancer
98,sarcoma
98,dedifferentiated liposarcoma
100,tumors
100,solid tumor
101,genitourinary cancer
101,bladder cancer
101,metastatic urothelial carcinoma
102,nausea
102,emesis
103,sarcoma
104,lung cancer
104,metastatic non-small cell lung cancer
104,non-squamous non-small cell lung cancer
105,tumors
105,cancer
106,lung cancer
106,metastatic non-small cell lung cancer
106,non-small cell lung cancer
107,genitourinary cancer
107,kidney cancer
107,metastatic renal cell carcinoma
107,metastasectomy
108,sarcoma
108,retroperitoneal sarcoma
109,bone metastases
109,prostate cancer
110,tumors
110,solid tumor
111,lung cancer
111,metastatic non-small cell lung cancer
112,genitourinary cancer
112,kidney cancer
112,metastatic renal cell carcinoma
113,sarcoma
114,cancer
114,breast cancer
115,pancreatic cancer
115,oncology
115,metastatic pancreatic cancer
116,oncology
117,prostate cancer
117,oncology
117,metastatic hormone-sensitive prostate cancer
118,gastric cancer
118,gastroesophageal junction adenocarcinoma
119,oncology
119,cancer
120,gastric cancer
120,gastric or gastroesophageal junction adenocarcinoma
121,blood disorder
121,multiple myeloma
121,dyscrasia
121,relapsed and refractory multiple myeloma
122,gastric cancer
122,gastro-esophageal cancer
123,blood disorder
123,multiple myeloma
123,dyscrasia
123,relapsed and refractory multiple myeloma
124,carcinoid tumor
125,blood disorder
125,multiple myeloma
125,dyscrasia
125,relapsed and refractory multiple myeloma
126,cancer
126,hepatocellular carcinoma of liver
127,blood disorder
127,dyscrasia
127,multiple myeloma
127,plasma cell disorder
127,relapsed and refractory multiple myeloma
128,cancer
128,biliary tract cancer
128,abc
129,blood disorder
129,multiple myeloma
129,dyscrasia
129,newly diagnosed multiple myeloma
130,oncology
130,cancer
131,cancer
132,tumors
132,cancer
133,multiple myeloma
133,cancer
134,tumors
134,solid tumor
135,oncology
135,acute lymphocytic leukemia
136,breast cancer
137,cancer
138,cancer
138,hepatocellular carcinoma of liver
139,blood disorder
139,multiple myeloma
139,dyscrasia
139,myeloma
140,tumors
141,oncology
141,cardiomyopathy
141,cancer
142,cancer
143,gastric cancer
144,blood disorder
144,multiple myeloma
144,dyscrasia
145,cancer
145,breast cancer
146,pancreatic cancer
146,pancreatic adenocarcinoma
147,blood disorder
147,multiple myeloma
147,dyscrasia
148,tumors
148,cancer
149,oncology
149,solid tumor
149,neuroblastoma
151,tumors
152,oncology
152,solid tumor
152,neuroblastoma
153,cancer
154,tumors
154,hepatocellular carcinoma of liver
155,oncology
155,solid tumor
155,neuroblastoma
156,gynecologic cancer
156,ovarian cancer
156,epithelial ovarian cancer
157,head and neck cancer
157,oropharyngeal cancer
158,prostate cancer
159,tumors
159,cancer
159,hiv
160,oncology
160,solid tumor
160,cancer
162,gynecologic cancer
162,uterine cancer
162,endometrial cancer
163,head and neck cancer
163,cancer
163,oral cancer
164,tumors
164,hiv
164,cancer
165,oncology
165,solid tumor
165,central nervous system
165,tumors
167,blood disorder
167,viral infection
167,myelodysplastic syndrome
168,cancer
168,colorectal cancer
168,stage
169,blood disorder
169,myelodysplastic syndrome
170,cancer
170,colorectal cancer
170,stage
171,blood disorder
171,acute leukemia
171,myelodysplastic syndrome
171,acute lymphocytic leukemia
172,cancer
172,locally advanced rectal cancer
173,blood disorder
173,myelodysplastic syndrome
173,chronic myeloid leukemia
174,cancer
174,colon cancer
175,blood disorder
175,myelodysplastic syndrome
175,hairy cell leukemia
176,blood disorder
176,myelodysplastic syndrome
176,chronic myeloid leukemia
177,melanoma
177,skin cancer
177,metastatic melanoma
178,breast cancer
179,colon cancer
179,cancer
180,melanoma
180,skin cancer
180,metastatic melanoma
181,cancer
181,colon cancer
182,blood disorder
182,acute leukemia
182,myelodysplastic syndrome
182,acute myeloid leukemia
183,breast cancer
183,stage
184,lung cancer
184,small-cell lung cancer
184,thoracic tumor
185,cancer
185,colorectal cancer
186,blood disorder
186,acute leukemia
186,myelodysplastic syndrome
186,acute myeloid leukemia
187,melanoma
187,skin cancer
187,solid tumor
188,lung cancer
188,small-cell lung cancer
188,thoracic tumor
189,breast cancer
189,metastatic breast cancer
190,cancer
191,blood disorder
191,acute leukemia
191,myelodysplastic syndrome
191,aml
191,itd
192,lung cancer
192,non-small cell lung cancer
192,thoracic tumor
193,lung cancer
193,non-small cell lung cancer
193,thoracic tumor
194,lung cancer
194,non-small cell lung cancer
194,thoracic tumor
195,lung cancer
195,thoracic tumor
195,non-small cell lung cancer
196,lung cancer
196,non-small cell lung cancer
196,thoracic tumor
197,oncology
197,cancer
198,cancer
199,fatigue
199,breast cancer
200,metastatic non-small cell lung cancer
200,non-squamous non-small cell lung cancer
201,cancer
202,renal cell carcinoma
203,melanoma
204,cancer
205,genitourinary cancer
205,prostate cancer
205,metastatic castration-resistant prostate cancer
207,leukemia
207,lymphoma
207,oncology
207,acute lymphocytic leukemia
208,genitourinary cancer
208,prostate cancer
209,head and neck cancer
209,oropharyngeal cancer
210,cancer
211,leukemia
211,lymphoma
211,oncology
211,acute lymphocytic leukemia
212,genitourinary cancer
212,prostate cancer
212,castration sensitive
213,head and neck cancer
213,oral cancer
214,leukemia
214,lymphoma
214,oncology
214,lymphocytic leukemia
215,head and neck cancer
215,squamous cell carcinoma
216,leukemia
216,lymphoma
216,oncology
217,prostate cancer
218,genitourinary cancer
218,prostate cancer
218,metastatic castration-resistant prostate cancer
220,genitourinary cancer
220,prostate cancer
220,metastatic castration-resistant prostate cancer
221,head and neck cancer
221,nasopharyngeal carcinoma
222,cancer
223,leukemia
223,lymphoma
223,oncology
223,acute myeloid leukemia
224,genitourinary cancer
224,prostate cancer
224,crpc
225,head and neck cancer
225,nasopharyngeal carcinoma
226,leukemia
226,lymphoma
226,oncology
226,acute myeloid leukemia
227,leukemia
227,lymphoma
227,oncology
227,acute myeloid leukemia
228,pancreatic cancer
229,genitourinary cancer
229,prostate cancer
230,head and neck cancer
230,head and neck squamous cell carcinoma
231,oncology
232,genitourinary cancer
232,prostate cancer
233,head and neck cancer
233,salivary gland cancer
234,cancer
235,oncology
235,solid tumor
235,neuroblastoma
235,cancer
236,head and neck cancer
236,head and neck squamous cell carcinoma
237,genitourinary cancer
237,prostate cancer
237,hormone refractory prostate cancer
239,oncology
239,solid tumor
239,rhabdomyosarcoma
240,lung cancer
240,metastatic non-small cell lung cancer
240,non-small cell lung cancer
241,lung cancer
241,metastatic non-small cell lung cancer
241,non-small cell lung cancer
242,blood disorder
242,nhl
242,chronic lymphocytic leukemia
243,melanoma
243,skin cancer
244,breast cancer
245,breast cancer
246,melanoma
246,skin cancer
247,blood disorder
247,chronic lymphocytic leukemia
248,tuberous sclerosis
248,cancer
248,central nervous system
248,tumors
248,oncology
249,breast cancer
249,metastatic breast cancer
250,cll
250,blood disorder
250,chronic lymphocytic leukemia
251,neurofibromatosis type 1
251,cancer
251,central nervous system
251,tumors
251,oncology
252,melanoma
252,skin cancer
252,bulky disease
253,thromboembolism
253,cancer
253,pancreatic ductal adenocarcinoma
253,tumors
254,cancer
254,mismatch repair deficiency
254,glioblastoma
254,central nervous system
254,tumors
254,oncology
255,liquid tumor
257,liquid tumor
258,breast cancer
258,metastatic breast cancer
259,blood disorder
259,chronic lymphocytic leukemia
259,follicular lymphoma
259,lymphoma
260,liver cancer
260,fibroblast
260,tumors
261,central nervous system
261,tumors
261,neoplastic meningitis
261,lung cancer
261,melanoma
261,skin cancer
262,sarcoma
263,breast cancer
263,metastatic breast cancer
264,blood disorder
264,chronic lymphocytic leukemia
264,lymphoma
264,follicular lymphoma
265,liver cancer
265,hepatocellular carcinoma of liver
265,tumors
266,central nervous system
266,tumors
266,melanoma
266,lung cancer
266,bulky disease
266,skin cancer
267,genitourinary cancer
268,breast cancer
268,metastatic breast cancer
269,blood disorder
269,chronic lymphocytic leukemia
269,lymphoma
270,central nervous system
270,tumors
270,bulky disease
270,lung cancer
270,melanoma
270,skin cancer
271,tumors
272,breast cancer
272,metastatic breast cancer
273,blood disorder
273,chronic lymphocytic leukemia
273,lymphoma
274,oncology
274,liver cancer
274,tumors
276,central nervous system
276,lung cancer
276,tumors
276,bulky disease
276,melanoma
276,skin cancer
279,gynecologic cancer
280,gastroesophageal junction cancer
280,adenocarcinoma
281,cancer
282,genitourinary cancer
282,cancer
284,melanoma
284,skin cancer
285,gastroesophageal junction cancer
285,adenocarcinoma
286,squamous cell carcinoma
286,tumors
286,lung cancer
287,gastroesophageal junction cancer
287,adenocarcinoma
288,squamous cell carcinoma
288,tumors
288,lung cancer
289,cancer
290,genitourinary cancer
290,metastatic renal cell carcinoma
291,blood disorder
291,myelodysplastic syndrome
292,melanoma
292,skin cancer
