id,TA,Indication,Generic,Brand,Firm
1,Cardiology,Cardiovascular Risk Factors,icosapent ethyl,Vascepa,Amarin
2,Urinalogy,Kidney Disease,potassium bicarbonate + potassium citrate,NA,Advicenne SA
3,Infectious Disease,Human Immunodeficiency Virus,cabotegravir sodium LA + rilpivirine hydrochloride LA,NA,ViiV Healthcare
5,Neurology,Insomnia,lemborexant,NA,Eisai
6,Cardiology,Calciphylaxis,sodium thiosulfate,NA,Hope Pharmaceuticals Inc
8,Immunology,Hereditary Angioedema,berotralstat hydrochloride,NA,BioCryst Pharmaceuticals Inc
9,Oncology,Bile Duct Cancer,derazantinib hydrochloride,NA,Basilea
10,Genetic Disorders,Duchenne Muscular Dystrophy,edasalonexent,NA,Catabasis Pharmaceuticals Inc
11,Hematology,Anemia in Chronic Kidney Disease,epoetin alfa,Critalfa,Apobiologix
12,Genetic Disorders,Primary Immune Deficiency,immune globulin (human),NA,Evolve Biologics Inc
13,Oncology,Metastatic Colorectal Cancer,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Epithelial Ovarian Cancer,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Fallopian Tube Cancer,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Hepatocellular Carcinoma,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Metastatic Colorectal Cancer,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Metastatic Melanoma,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Metastatic Ovarian Cancer,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Peritoneal Cancer,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Solid Tumor,napabucasin,NA,Boston Biomedical Inc
14,Oncology,Triple-Negative Breast Cancer,napabucasin,NA,Boston Biomedical Inc
15,Neurology,Amyotrophic Lateral Sclerosis,NurOwn,NA,BrainStorm Cell Therapeutics Inc
16,Oncology,Non Muscle Invasive Bladder Cancer,oportuzumab monatox,Vicinium,Sesen Bio Inc
17,Respiratory,Idiopathic Pulmonary Fibrosis,PBI-4050,NA,Liminal BioSciences Inc
18,Infectious Disease,Hepatitis B,Sci-B-Vac,Sci-B-Vac,VBI Vaccines Inc
19,Infectious Disease,Onychomycosis,terbinafine hydrochloride,NA,Moberg Pharma AB
21,Oncology,Squamous Cell Carcinoma,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Bile Duct Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Colon Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Glioblastoma Multiforme,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Head And Neck Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Liver Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Lung Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Lymphoma,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Melanoma,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Ovarian Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Pancreatic Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Sarcomas,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Thyroid Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
22,Oncology,Triple-Negative Breast Cancer,cisplatin + vinblastine sulphate,NA,Intensity Therapeutics Inc
